case,vbat,load_uA,hv_mean,hv_min,hv_max,ripple_pp,startup_ms,peak_hv_V,peak_switch_v,peak_inductor_mA,input_mA,ovp_peak_V,ttl_min_V,ttl_max_V,base_peak_V,hv_at_300ms_V,within_360_440
v3.135_load0,3.135,0.0,399.2167484204246,396.453737,403.51364,7.05990300000002,37.3204288,403.52174,105.087863,56.0934152,2.5030779413593773,1.21803146,-0.0152090036,3.13172623,0.599440084,170.292991,True
v3.135_load1,3.135,1.0,399.3606935126411,396.808966,403.492402,6.683436000000029,38.2204293,403.50069,105.086657,56.09366,2.676190329357091,1.21798035,-0.0152090036,3.13139623,0.599434932,157.839279,True
v3.135_load5,3.135,5.0,399.26111775470076,396.042564,403.412398,7.369833999999969,42.520467,403.433953,105.0364,56.0937004,3.264523943493254,1.21779149,-0.0152090036,3.14409341,0.59943243,108.488983,True
v3.135_load20,3.135,20.0,389.52613105903026,388.087698,392.889602,4.801904000000036,,393.153727,102.474519,56.051084700000004,5.44801534590614,1.186509,-1.80579705e-06,3.13100848,0.599423434,11.7128445,True
v3.3_load0,3.3,0.0,399.2036822303921,396.416953,403.791253,7.374300000000005,33.120463599999994,403.837635,105.650042,59.045545999999995,2.3648134037287485,1.21829363,-0.00310956666,3.29657945,0.600551276,169.884676,True
v3.3_load1,3.3,1.0,399.2843271816878,396.727823,403.78852,7.060697000000005,33.7206028,403.863816,105.623343,59.04581099999999,2.514779485480845,1.21830032,-0.00310956666,3.29741113,0.600550073,158.102256,True
v3.3_load5,3.3,5.0,399.2394850052925,396.155907,403.796692,7.640784999999994,36.8204857,403.809419,105.609193,59.0460378,3.1231675954632268,1.2181548,-1.80515027e-06,3.2860956,0.60055152,108.460167,True
v3.3_load20,3.3,20.0,399.05018645853715,395.291907,403.514554,8.222646999999995,67.720615,403.517121,105.420041,59.0026721,5.323321089492469,1.21734143,-1.80582105e-06,3.27190704,0.600538687,12.3239416,True
v3.465_load0,3.465,0.0,399.2342539433963,396.455119,404.241005,7.785885999999948,29.8204536,404.265804,106.220495,61.9980026,2.2471910433847944,1.21871449,-0.0142395115,3.46607504,0.601618836,170.461013,True
v3.465_load1,3.465,1.0,399.237633178013,396.49726,404.228953,7.731693000000007,30.3204496,404.27598,106.293644,61.9508443,2.4033041905997132,1.21870707,-0.00281805677,3.46599649,0.601619695,158.213936,True
v3.465_load5,3.465,5.0,399.1996301302309,395.580932,404.195477,8.614544999999964,32.520556,404.208909,106.167088,61.998122,2.9728503088992753,1.2185313,-0.00281805679,3.46594115,0.601620992,108.897,True
v3.465_load20,3.465,20.0,399.02694226918385,394.546117,403.938445,9.39232800000002,49.7205715,403.94461,106.02952,61.9534583,5.074853134273604,1.21775215,-0.0111946349,3.47706427,0.601608668,12.3053537,True
feedback_open,3.3,1.0,409.4081415885887,408.320351,412.643175,4.322823999999969,32.3204146,412.674124,107.656583,59.0002611,2.195962744474419,1.24546184,-1.76843677e-06,3.30044727,0.600553061,185.34428,True
ovp_tolerance,3.465,1.0,421.824112623467,420.149961,425.290356,5.140394999999955,29.2204045,425.291418,111.218294,61.9959373,2.191772789016601,1.25799282,-1.80599959e-06,3.47961361,0.601621641,191.549188,True
tube_short,3.3,1.0,258.7431063490251,257.439161,263.74592,6.306759,,263.74592,72.9970051,59.0027026,6.029769323075371,0.788599489,0.0,0.0,0.609232693,3.62220215,False
disabled,3.3,1.0,0.5261391431069258,0.499701559,0.556579873,0.056878313999999985,,1.66523117,3.29999986,1.57224621,1.680443320025799e-05,0.00505598685,0.0,0.0,0.14046191,0.403207255,False
