tscircuit reference,KiCad reference,footprint
SJ_LED,JP1,glowcost:SJ_LED
R_LED,R6,glowcost:R_LED
D_LED,D9,glowcost:D_LED
Q_LED,Q2,glowcost:Q_LED
R_LB,R7,glowcost:R_LB
R_LPD,R8,glowcost:R_LPD
TP1,TP1,glowcost:TP1
TP2,TP2,glowcost:TP2
TP3,TP3,glowcost:TP3
TP4,TP4,glowcost:TP4
TP5,TP5,glowcost:TP5
TP6,TP6,glowcost:TP6
TP7,TP7,glowcost:TP7
TP8,TP8,glowcost:TP8
TP9,TP9,glowcost:TP9
TP10,TP10,glowcost:TP10
TP11,TP11,glowcost:TP11
TP12,TP12,glowcost:TP12
TP13,TP13,glowcost:TP13
TP14,TP14,glowcost:TP14
TP15,TP15,glowcost:TP15
TP16,TP16,glowcost:TP16
TP17,TP17,glowcost:TP17
TP18,TP18,glowcost:TP18
TP19,TP19,glowcost:TP19
TP20,TP20,glowcost:TP20
TP21,TP21,glowcost:TP21
TP22,TP22,glowcost:TP22
J1,J1,glowcost:J1
U1,U1,
R_EN,R9,glowcost:R_EN
C1,C1,glowcost:C1
D1,D1,glowcost:D1
D2,D2,glowcost:D2
C2,C2,glowcost:C2
C3,C3,glowcost:C3
D3,D3,glowcost:D3
D4,D4,glowcost:D4
C4,C4,glowcost:C4
C5,C5,glowcost:C5
D5,D5,glowcost:D5
D6,D6,glowcost:D6
C6,C6,glowcost:C6
C7,C7,glowcost:C7
D7,D7,glowcost:D7
D8,D8,glowcost:D8
C8,C8,glowcost:C8
R1,R1,glowcost:R1
R_OV1,R10,glowcost:R_OV1
R_BL1,R11,glowcost:R_BL1
R2,R2,glowcost:R2
R_OV2,R12,glowcost:R_OV2
R_BL2,R13,glowcost:R_BL2
R3,R3,glowcost:R3
R_OV3,R14,glowcost:R_OV3
R_BL3,R15,glowcost:R_BL3
R4,R4,glowcost:R4
R_OV4,R16,glowcost:R_OV4
R_BL4,R17,glowcost:R_BL4
R5,R5,glowcost:R5
C9,C9,glowcost:C9
R_OVBOT,R18,glowcost:R_OVBOT
C_OV,C10,glowcost:C_OV
R_A1,R19,glowcost:R_A1
R_A2,R20,glowcost:R_A2
J2,J2,glowcost:J2
J3,J3,glowcost:J3
GM1,GM1,
R_K,R21,glowcost:R_K
R_PROTECT,R22,glowcost:R_PROTECT
Q1,Q1,glowcost:Q1
D_NEG,D10,glowcost:D_NEG
R_COL,R23,glowcost:R_COL
U2,U2,
R_OUT,R24,glowcost:R_OUT
