Reference,X_mm,Y_mm,Rotation_deg,Layer,DNP,MPN
J1,-60,-17,0,top,No,BM04B-GHS-TBT(LF)(SN)
R_EN,-53,-17,0,top,No,0603WAF1003T5E
C1,1,1,0,top,No,C3216C0G2J103JT000N
D1,-2,-3.0000000000000004,90,top,No,BAV21W-7-F
D2,4,-3.0000000000000004,90,top,No,BAV21W-7-F
C2,1,-7,0,top,No,C3216C0G2J103JT000N
C3,13,1,0,top,No,C3216C0G2J103JT000N
D3,10,-3.0000000000000004,90,top,No,BAV21W-7-F
D4,16,-3.0000000000000004,90,top,No,BAV21W-7-F
C4,13,-7,0,top,No,C3216C0G2J103JT000N
C5,25,1,0,top,No,C3216C0G2J103JT000N
D5,22,-3.0000000000000004,90,top,No,BAV21W-7-F
D6,28,-3.0000000000000004,90,top,No,BAV21W-7-F
C6,25,-7,0,top,No,C3216C0G2J103JT000N
C7,37,1,0,top,No,C3216C0G2J103JT000N
D7,34,-3.0000000000000004,90,top,No,BAV21W-7-F
D8,40,-3.0000000000000004,90,top,No,BAV21W-7-F
C8,37,-7,0,top,No,C3216C0G2J103JT000N
R1,48,-15,0,top,No,FRG2512F3305TS
R_OV1,48,-23,0,top,No,FRG2512F3305TS
R_BL1,61,3,90,top,No,1206W4F1005T5E
R2,38,-15,0,top,No,FRG2512F3305TS
R_OV2,38,-23,0,top,No,FRG2512F3305TS
R_BL2,61,-4,90,top,No,1206W4F1005T5E
R3,28,-15,0,top,No,FRG2512F3305TS
R_OV3,28,-23,0,top,No,FRG2512F3305TS
R_BL3,61,-11,90,top,No,1206W4F1005T5E
R4,18,-15,0,top,No,FRG2512F3305TS
R_OV4,18,-23,0,top,No,FRG2512F3305TS
R_BL4,61,-18,90,top,No,1206W4F1005T5E
R5,8,-15,90,top,No,PTFR0603B412KP9
C9,3,-15,90,top,No,CL10C101JB8NNNC
R_OVBOT,8,-23,90,top,No,RT0603BRD07402KL
C_OV,3,-23,90,top,No,CL10C100JB8NNNC
R_A1,47,8,0,top,No,CRHV1206AF2M49FKEF
R_A2,53,8,0,top,No,CRHV1206AF2M49FKEF
J2,52.5,18,90,top,Yes,10207101009
J3,-52.5,18,90,top,Yes,10207101009
R_K,-53,8,90,top,No,0603WAF1003T5E
R_PROTECT,-46,9,0,top,No,0603WAF1003T5E
Q1,-45,3,0,top,No,MMBT3904LT1G
D_NEG,-51,1.9999999999999998,90,top,No,1N4148W
R_COL,-39,3,90,top,No,0603WAF4702T5E
R_OUT,-53,-9,0,top,No,0603WAF1001T5E
