case,clamp,plant,duty_pct,cmp2_counts,hv_mean_V,hv_min_V,hv_max_V,hv_early_V,settled,peak_switch_V,peak_inductor_mA,input_mA,sense_V,fet_within_60V
sense_d1,False,False,1.0,20,36.7983,36.6978,36.9177,36.7836,True,10.4388,3.60377,0.024374899999999998,0.114498,True
sense_d2,False,False,2.0,40,65.4651,65.379,65.7551,65.4504,True,17.7584,6.833200000000001,0.0713755,0.203695,True
sense_d4,False,False,4.0,80,126.269,126.13,126.797,126.029,True,32.7986,13.282399999999999,0.249394,0.392886,True
sense_d6,False,False,6.0,120,188.256,188.076,188.986,187.89,True,48.577,19.6595,0.527295,0.585758,True
sense_d8,False,False,8.0,160,249.941,249.69,250.893,249.297,True,64.3052,25.9547,0.912071,0.777692,False
sense_d10,False,False,10.0,200,310.646,310.362,311.783,309.879,True,79.7752,32.0919,1.3998000000000002,0.966577,False
sense_d12,False,False,12.0,240,370.916,370.57,372.264,369.942,True,95.1517,38.2234,1.99444,1.15411,False
sense_d15,False,False,15.0,300,399.297,396.71,402.45,399.311,True,103.579,47.3328,2.28837,1.24242,False
sense_d20,False,False,20.0,400,399.233,396.587,404.232,399.237,True,106.155,61.9143,2.3203199999999997,1.24222,False
sense_d30,False,False,30.0,600,399.704,396.112,408.817,399.724,True,112.733,89.8071,2.62446,1.24368,False
clamp_d8,True,False,8.0,160,249.941,249.69,250.893,249.297,True,64.3052,25.9547,0.912071,0.777692,False
clamp_d12,True,False,12.0,240,370.916,370.57,372.264,369.942,True,95.1517,38.2234,1.99444,1.15411,False
clamp_d20,True,False,20.0,400,399.233,396.587,404.232,399.237,True,106.155,61.9143,2.3203199999999997,1.24222,False
plant_d8,False,True,8,160,249.941,249.69,250.893,249.297,True,64.3052,25.9547,0.912071,0.777692,False
plant_d12,False,True,12,240,370.916,370.57,372.264,369.942,True,95.1517,38.2234,1.99444,1.15411,False
plant_d15,False,True,15,300,459.448,459.033,461.084,458.289,True,117.736,47.2616,3.07919,1.42957,False
plant_d20,False,True,20,400,603.674,603.092,605.821,601.823,True,154.54,61.9164,5.4075299999999995,1.87833,False
