case,vbat,load_uA,hv_mean,hv_min,hv_max,ripple_pp,startup_ms,peak_hv_V,peak_switch_v,peak_inductor_mA,input_mA,ovp_peak_V,ttl_min_V,ttl_max_V,base_peak_V,hv_at_300ms_V,within_360_440
v3.135_load0,3.135,0.0,399.2208044236833,396.552789,403.765313,7.2125239999999735,33.320415399999995,403.820829,105.633667,58.886013500000004,2.3482368066069212,1.21826569,-0.0152090036,3.13215383,0.599440284,170.254813,True
v3.135_load1,3.135,1.0,399.3030274777249,396.558332,403.804286,7.245953999999983,33.920569300000004,403.810477,105.587097,58.8860552,2.477993273104114,1.21823861,-1.76063756e-06,3.13112917,0.599438588,157.598234,True
v3.135_load5,3.135,5.0,399.2482664800428,396.214124,403.78454,7.570415999999966,37.020540999999994,403.787062,105.544523,58.885991,3.06297475890981,1.21813945,-0.0152090036,3.13130217,0.599437593,108.639413,True
v3.135_load20,3.135,20.0,399.0270265071878,395.29068,403.473892,8.183211999999969,69.12061349999999,403.493788,105.383942,58.846709,5.2295909389240816,1.21731276,-1.78982593e-06,3.10786154,0.599423292,12.3974732,True
v3.3_load0,3.3,0.0,399.2425749904183,396.515782,404.199346,7.68356399999999,29.8204514,404.262177,106.226681,61.9853066,2.202870727147122,1.21872139,-0.00310956666,3.30354157,0.600550959,170.224533,True
v3.3_load1,3.3,1.0,399.2322419381167,395.894171,404.231927,8.337756000000013,30.3204301,404.328936,106.298225,61.9427845,2.3498317963344086,1.21870662,-0.00310956666,3.29625512,0.600550891,158.254754,True
v3.3_load5,3.3,5.0,399.2037524505478,396.076714,404.189564,8.112850000000037,32.520523000000004,404.19785,106.168057,61.9853078,2.8940046877234797,1.21851388,-0.00310956666,3.30688777,0.600551731,109.155228,True
v3.3_load20,3.3,20.0,399.0245183921265,394.556147,403.943594,9.387447000000009,49.620663699999994,403.944005,106.029776,61.945453400000005,4.9624185492640835,1.21774902,-0.00310956666,3.2962274,0.600538892,12.3071688,True
v3.465_load0,3.465,0.0,399.29817619751833,396.655234,404.617913,7.96267899999998,27.020464599999997,404.66526,106.939369,65.0846249,2.118037810429055,1.21917058,-0.00281805676,3.47656257,0.601624627,170.568055,True
v3.465_load1,3.465,1.0,399.22485674127415,396.515757,404.431425,7.915667999999982,27.420415100000003,404.503976,106.909536,65.0845799,2.233104046975215,1.21841251,-0.00281805677,3.47657262,0.601624329,158.098291,True
v3.465_load5,3.465,5.0,399.218098946987,396.484544,404.616744,8.132199999999955,29.020641,404.627335,106.805787,65.0846531,2.7303924583186134,1.21893855,-0.00281805679,3.46594097,0.601617611,108.92045,True
v3.465_load20,3.465,20.0,399.011742711374,394.660664,404.388005,9.727341000000024,40.0206335,404.392091,106.702257,65.0438667,4.674598372233825,1.21818121,-1.80607197e-06,3.46275954,0.601608909,12.4618999,True
enable_off,3.3,1.0,0.5869708402545162,0.557635982,0.62099598,0.06335999800000003,,1.66865316,3.30000831,1.5848923400000001,1.604960001477931e-05,0.0,0.0,0.0,0.140468957,0.455617251,False
sense_open,3.3,1.0,694.0216464251088,685.242676,702.362244,17.119568000000072,23.2205778,705.025749,178.771053,61.939655099999996,5.094301719042197,0.0,-1.80028663e-06,3.29557601,0.60056282,373.978394,False
sense_trip,3.3,1.0,145.90235482787986,126.808114,166.480259,39.672144999999986,24.2205082,423.449167,110.761478,61.9396641,0.00020464777209904843,0.0,0.0,0.0,0.598106395,56.9663073,False
tube_short,3.3,1.0,276.2568016570066,274.907726,281.430403,6.522676999999987,,281.430403,77.6380976,61.940542799999996,6.195343596134446,0.0,0.0,0.0,0.610009401,4.1663324,False
